Beruf;Kürzel
Fachpraktiker(in) im Schuhmacherhandwerk;XFS
Fachpraktiker(in) im Verkauf;WVH
Fachpraktiker(in) in sozialen Einrichtungen;NFE
Fachpraktiker(in) Küche (Beikoch/Beiköchin);NBK
Fachpraktiker(in) Verkauf im Bäckerhandwerk;NFA
Fachpraktiker/in für Bürokommunikation;WBP
Fachpraktiker/-in im Lagerbereich;WLF
Fachverkäufer(in) im Lebensmittelhandw. Spkt. Bäckerei;NVB
Fachverkäufer(in) im Lebensmittelhandw. Spkt. Fleischerei;NVF
Fachverkäufer(in) im Lebensmittelhandw. Spkt. Konditorei;NVK
Fachverkäufer(in) im Nahrungsmittelh. Spkt. Bäckerei/Kon(aB);NFB
Fachverkäufer(in) im Nahrungsmittelh. Spkt. Fleischerei (aB);NFI
Fachwerkerin/Fachwerker für Recycling;CRC
Fahrradmonteur(in);RFM
Fahrzeuginnenausstatter(in);FFI
Fahrzeuglackierer(in);FFK
Fahrzeugpfleger(in);RPF
Fahrzeugpolsterer(in) (aB);FFP
Fassadenmonteur(in);BFM
Feinmechaniker(in) - Feingerätebau - (aB);MF1
Feinmechaniker(in) - Nähmaschineninstandhaltung - (aB);MF2
Feinoptiker(in);MFE
Feinsattler(in) (aB);SFE
Feinsattler(in) (aB);XFE
Feintäschner(in) (aB);XFT
Feinwerkmechaniker(in);MFW
Fernmeldeanlagenelektroniker(in) (aB);EFA
Fertigungsmechaniker(in);MFM
Feuerungs- und Schornsteinbauer(in);BFS
Film- und Videoeditor(in);DFV
Fischwirt(in);AFI
Flachglasmechaniker(in);SFM
Fleischer(in);NFL
Fliesen-, Platten- und Mosaikleger(in);BFP
Florist(in);JFL
Fluggerätmechaniker(in) (aB);RFG
Fluggerätmechaniker/-in -Fertigungstechnik-;RFF
Fluggerätmechaniker/-in -Instandhaltungstechnik-;RFI
Fluggerätmechaniker/-in -Triebwerkstechnik-;RFT
Forstwirt(in);AFO
Fotograf(in);DFF
Fotolaborant(in) (aB);DLA
Fotomedienfachmann(frau);WFO
Fotomedienlaborant(in) (aB);DFO
Fräser(in) (aB);MFR
Friseur(in);KFR
Galvaniseur(in) (aB);FGA
Gärtner(in);JGA
Gas- und Wasserinstallateur(in) (aB);MGW
Gebäudereiniger(in);CGD
Geigenbauer(in);SGB
Geomatiker(in);BGO
Gerätezusammensetzer(in) (aB);MGZ
Gerber(in);XGE
Gerüstbauer(in);BGE
Gestalter(in) für visuelles Marketing;FGV
Gießereimechaniker(in);MGM
Gießereimechaniker(in) - Druck und Kokillenguss;MG3
Gießereimechaniker(in) - Handformguss;MG2
Gießereimechaniker(in) - Maschinenformguss;MG1
Glas- und Kerammaler(in) (aB);SGK
Glas- und Porzellanmaler(in);SGP
Glasapparatebauer(in);SGT
Glaser(in);SGL
Glasveredler(in);SGV
Gleisbauer(in);BGB
Goldschmied(in) - Juwelen -;SGJ
Goldschmied(in) - Ketten -;SGE
Goldschmied(in) - Schmuck -;SGO
Graveur(in) (aB);MGR
Gürtler(in) (aB);MGU
Handelsfachpacker(in) (aB);WHP
Hauswirtschafter(in);YHS
Helfer(in) im Ausbildungsberuf Gas- und Wasserinstallation;MHG
Helfer(in) im Gastgewerbe;NHG
Helfer(in) im Weber-Handwerk;XHW
Helfer(in) in der Hauswirtschaft (aB);YHH
Helferin/Helfer im Gartenbau (Innovationsvorhaben);JHG
Herrenschneider(in) (aB);XHS
Hochbaufacharbeiter(in);BHF
Holz- und Bautenschützer(in);BSC
Holzbearbeiter(in);HHA
Holzbearbeitungsmechaniker(in);HHB
Holzbildhauer(in);SHB
Holzfachpraktiker(in);HHP
Holzfachwerker(in);HHF
Holzmechaniker(in);HHM
Holzwerker(in);HHW
Hörgeräteakustiker(in);SHA
Hotelfachmann(frau);NHO
Hotelkaufmann(frau);NHK
Hut- und Mützenmacher(in) (aB);XHM
Immobilienkaufmann(frau);WIM
Industrieelektriker(in) - Betriebstechnik -;EIE
Industrieelektriker(in) - Geräte und System -;EIG
Industrieelektroniker(in) - Gerätetechnik - (aB);EI2
Industrieelektroniker(in) - Produktionstechnik - (aB);EI1
Industriefachhelfer(in);MIF
